,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
1557,1557,Spain,"Aromas of buttered noodles and honey fail to hold up in the glass. This sweet Macabeo feels a bit watery, with no complexity to the palate structure. Flavors of honey and vanilla are slightly bitter.",Dulce Blanco,84,14.0,Levante,Jumilla,,Macabeo,Casa de la Ermita
1609,1609,Spain,"Leesy aromas of pear and melon are friendly and fresh. This Verdejo is lean, citric and drawn on the palate, with lemon, white pineapple and green apple flavors. A tangy, tight, juicy, acidic palate ensures that this ends with crispness and snap.",,87,15.0,Northern Spain,Rueda,,Verdejo,Protos
1679,1679,Spain,"Easy berry and plum aromas come across clean and pure. This has a staunch mouthfeel with rubbery, pinching tannins. Earthy, ripe berry and plum flavors turn even riper on the back palate and finish, which lingers in a solid state.",Castillo de Albai Crianza,88,15.0,Northern Spain,Rioja,,Tempranillo,Pagos del Rey
1703,1703,Spain,"Earthy, ripe, slightly flat aromas of black fruits define the nose on this dense Toro. Soft, mellow, quiet flavors of blackberry and raisin finish rich, loamy and with a note of prune. Drink this ripe, fairly sweet-tasting wine now.",,88,15.0,Northern Spain,Toro,,Tempranillo,Hermanos Lurton
1704,1704,Spain,"Oak, density and medicinal berry aromas are the three most prominent characteristics on the nose of this carbonic macerated Tempranillo. In the mouth, it's full and a bit grabby. Flavors of smoky oak and hickory vie with black-fruit tastes, while the finish is firm and dry, with residual woodiness.",Maceración Carbónica,88,16.0,Northern Spain,Rioja,,Tempranillo Blend,Dominio de Berzal
1705,1705,Spain,"Floral, stony red-fruit aromas are the right set up for a tight, almost citric feeling palate. Flavors of cherry and red plum are narrow and quick-hitting, while the finish is bright, juicy and runs on acidity. This demands food; it's raw by itself.",AV14 Clos d'Englora,88,30.0,Catalonia,Montsant,,Red Blend,Cellers Baronia del Montsant
1706,1706,Spain,"This modern Rioja opens with sweet, jammy, raisiny aromas and spice. The palate is cumbersome, with tomatoey acidity providing spine. Baked dark-fruit flavors show a leathery, spicy side, while the finish is full, grabby and tannic, with notes of prune and rubber. 70% Tempranillo and 30% Graciano.",Inspiración Las Canteras,88,25.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Valdemar
1707,1707,Spain,"Minty, scratchy aromas of cherry and berry air out well. This feels chewy yet fresh in the mouth, with plum and cherry flavors matched by good overall intensity and balance. A controlled finish tastes dusty and loamy; drink through 2017.",Crianza,88,15.0,Northern Spain,Rioja,,Tempranillo Blend,Viña Herminia
1734,1734,Spain,"Plump, waxy aromas of baked apple and lanolin are complex and proprietary to Garnacha Blanca. This feels full and creamy, with moderate but present acidity. Slightly bitter, peppery stone-fruit flavors fold in a note of papaya and vanilla. A steady finish is healthy and balanced.",Santbru,90,32.0,Catalonia,Montsant,,White Blend,Portal del Montsant
1776,1776,Spain,"Earth, leather and strong but quality oak notes accent berry-fruit aromas. Cheek-sucking tannins make for a rugged mouthfeel. Spicy, peppery berry flavors are fully oaked and toasty, while this tastes dry and minty on the finish. Grilled meat and/or a few years on its side is what this needs. Drink through 2025.",Trienna,92,77.0,Northern Spain,Ribera del Duero,,Tempranillo,Portia
1794,1794,Spain,"Dusty toffee and dried stone-fruit aromas are pure and inviting. This is ultra crisp and fresh, with ripping acidity. Flavors of toffee, salted peanuts and sharp-leaning dry white fruits finish racy and with precision. This is a classic complex amontillado purchased from the cellar of Manuel Cuevas Jurado.",Almacenista Manuel Cuevas Jurado Amontillado de Sanlúcar de Barrameda,92,30.0,Andalucia,Jerez,,Sherry,Lustau
1819,1819,Spain,"Raspberry, plum and cherry aromas are light, pure and fully inviting, with nothing off-putting. This tastes bright and balanced, with cherry and berry flavors that are impossible not to like. A dash of oaky cocoa blends with leftover red fruit flavors on a nice finish.",Crianza,90,10.0,Northern Spain,Rioja,,Tempranillo Blend,Viña Cumbrero
1892,1892,Spain,"Briny aromas suggest pickled white fruits and even some sauerkraut. In the mouth, this is tight for a fairly sizable wine. Dry peach and bitter melon flavors settle on citrus pith, while the finish is long and leesy.",Montenovo,87,18.0,Northern Spain,Valdeorras,,Godello,Valdesil
1893,1893,Spain,"Leesy on the nose like the name implies, this Godello smells creamy, with notes of apple and melon. The palate shows moderate citric acidity but nothing scouring, while flavors of ripe apple, orange and powdered sugar finish leesy and peachy.",Sobre Lias,87,20.0,Northern Spain,Valdeorras,,Godello,Viña Somoza
1895,1895,Spain,"Hot, stalky aromas of red chili flake and weedy raspberry lead to a lean, tomatoey palate with flavors of tomato, dried berry, vanilla and especially dill weed. A saucy, woody finish confirms that this is now mostly oak and acid; drink through 2020.",Reserva,87,30.0,Northern Spain,Rioja,,Tempranillo Blend,Eduardo Garrido García
1896,1896,Spain,"Pinched, rubbery and earthy-smelling, but with ample berry, plum and char aromas, this young, oak-aged RDD is full and well balanced. Blackberry, cassis and oak flavors dance well together, while the finish introduces hickory and herbal notes.",Tinto Figuero 4 Meses en Barrica,87,20.0,Northern Spain,Ribera del Duero,,Tempranillo Blend,García Figuero
1950,1950,Spain,"Dusty aromas of yellow apple and cream soda are creamier than the palate, which is tangy, lemony and green. This tastes of briny citrus and green apple, while tangerine, lime and green-herb flavors define the finish.",Brut,88,16.0,Catalonia,Cava,,Sparkling Blend,El Xamfrà
1951,1951,Spain,"Plum and berry aromas are lively and come with a mild scent of animal fur. This blend of four grapes, led by Tempranillo, feels blocky and loosely defined, while flavors of plum, raspberry and a touch of herbal green finish spicy and woody. Will function best as an everyday wine.",Viña Aljibes Cabernet  Sauvignon-Syrah-Cabernet Franc-Tempranillo,88,20.0,Central Spain,Vino de la Tierra de Castilla,,Red Blend,Aljibes
1952,1952,Spain,"Cidery aromas vie with bready notes to give the bouquet complexity. This feels zesty, juicy and citric, with a lean, racy body. Apple cider, green herb, lime and scallion flavors finish with a lasting taste of lime.",Blanc de Blancs Brut Reserva,88,18.0,Catalonia,Cava,,Sparkling Blend,Paul Cheneau
1955,1955,Spain,"Stripped-back cherry and raspberry flavors take on a jammy character with airing. This is tight, bright and mildly acidic on the palate, with raspberry, red plum and brown sugar flavors. Toast and a molasses-like sweetness carry an otherwise juicy finish.",Viña Berceo Crianza,88,18.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Berceo
1958,1958,Spain,"Blackberry, cherry and earthy aromas are backed by a secondary wave of oaky char. This is 80% Garnacha and 20% Carignan with raw clamp to the palate created by grabby tannins and tomatoey acidity. Briny raspberry and plum flavors finish with rubbery tannins and related grab. This is a tough wine but one with lots of life and power. Drink through 2019.",Pinyolet Selección,88,19.0,Catalonia,Montsant,,Red Blend,Compañia de Vinos del Atlántico
1966,1966,Spain,"Apple, peach and melon aromas are fresh and easy to like. This has a pure palate, with citric and malic acidity offset by pulpy weight. Peach and apricot flavors finish long, and overall this should maintain its good shape over the next year.",,88,16.0,Galicia,Rías Baixas,,Albariño,Licia
1996,1996,Spain,"Aromas of stone fruits and citrus are dusty and nice; so is the mouthfeel, which is fresh but shows texture and body. Watermelon, nectarine and citrus flavors finish slightly bitter but within reason.",Vetiver Tempranillo,88,13.0,Northern Spain,Rioja,,Rosado,Bodegas Ontañón
1997,1997,Spain,"Despite being nine years old, this comes across young and jammy, with foxy aromas of wild berries and animal fur. The palate is blocky, heavily extracted and fully ripe in feel. Flavors of prune and blackberry finish with hard tannins. Drink or hold.",200 Monges Selección Especial Reserva,88,120.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Vínícola Real
2007,2007,Spain,"Minerally, warm aromas are rustic and savory, with berry power lurking in the backdrop. A full, grabby, tannic palate is meaty in feel, while flavors of blackberry, dark spices, cocoa and herbal notes finish flush and tannic, with ample ripeness.",Joven,87,10.0,Northern Spain,Toro,,Tempranillo,Muruve
2013,2013,Spain,"Aromas of raw oak, cinnamon, bacon and clove outmuscle fruit on this rough, tannic, scraping 2013. Flavors of toast, chocolate and baking spices push blackberry and black-plum fruit towards an oaky, abrasive finish with rocky tannins and accents of chocolate and cinnamon. Holding this for another couple of years may or may not soften this fierce but tasty RDD.",Crianza,90,40.0,Northern Spain,Ribera del Duero,,Tempranillo,Arzuaga
2022,2022,Spain,"This is one of the most inky, concentrated, fiercely tannic vintages of Alion to date. Aromas of granite, boysenberry and grilled meat feed into a biting, full-bodied palate that can only benefit from more time. Blackberry, vanilla and chocolate flavors finish with mocha notes and stocky, rugged tannins. This is fierce and unrefined now; drink from 2018 through 2027.",,90,95.0,Northern Spain,Ribera del Duero,,Tempranillo,Alion
2078,2078,Spain,"There's no denying that this is a heavily oaked Rioja with toast, resin, vanilla and cheesy aromas alongside fully ripe blackberry and prune notes. There's energy to the palate, while previously mentioned heavy oak spawns flavors of vanilla and spice to go with berry fruit. A mouth-coating, woody finish stands out on this compartmentalized Tempranillo-led blend. Drink through 2023.",Inspiración Valdemar Selección,90,24.0,Northern Spain,Rioja,,Tempranillo Blend,Bodegas Valdemar
2080,2080,Spain,"Pine resin and a light, oily brine character define the nose on this lithe, fresh fino. Crisp acidity and healthy weight mesh into balance on an easy-to-navigate palate. Flavors of almond, sea brine and toffee finish crisp.",Fino Una Palma,90,34.0,Andalucia,Jerez,,Sherry,González Byass
2083,2083,Spain,"Aromas of freshly baked bread, toast and melon are soft and welcoming. This Pinot Noir-led Cava feels plump, with moderate acidity. Flavors of melon, quince and pear finish mild, with only a bit of kick.",Blanc de Noirs Brut Reserva,89,30.0,Catalonia,Cava,,Sparkling Blend,Juvé y Camps
2130,2130,Spain,"Light plum and raspberry aromas include notes of animal and latex. This lightweight Garnacha has a monotone mouthfeel, while hollow simple berry flavors finish with acidic tang.",Viña Temprana Old Vines,83,8.0,Northern Spain,Campo de Borja,,Garnacha,Bodegas Aragonesas
2134,2134,Spain,"Herbal tomato and red-berry aromas are jumbled and fail to state much of a case for this multigrape blend. Herbal spicy tea and raspberry flavors finish jagged, with mild heat.",,83,10.0,Northern Spain,Campo de Borja,,Red Blend,Loteta
2137,2137,Spain,"This blend is so oaky and sticky on the nose that it smells like a Hershey's Kiss. The palate is out of balance, with chunky weight and unintegrated acidity. Like the nose, this tastes like a drugstore chocolate bar, while the finish is hot.",de Sommos,82,13.0,Northern Spain,Somontano,,Red Blend,Glárima
2138,2138,Spain,"Reduced jammy black-fruit aromas announce a scratchy palate with spritz. This multigrape blend tastes saucy and stewed, while hard tannins and a note of burnt coffee control the finish.",Garnacha-Tempranillo-Cabernet Sauvignon-Syrah,82,10.0,Northern Spain,Campo de Borja,,Red Blend,Loteta
2144,2144,Spain,"Clove and beef jerky aromas are odd and forceful. A globular palate lacks form and balance, while this tastes oddly and singularly of clove.",,81,11.0,Northern Spain,Campo de Borja,,Tempranillo-Cabernet Sauvignon,Coto de Hayas
2182,2182,Spain,"Stalky, grassy, briny aromas of red-berry fruits run low on ripeness. This is tangy and tomatoey in feel, with tart plum and tomato flavors. A snappy, zesty, crisp finish is raw and cutting. Drink this wine now.",,86,25.0,Catalonia,Montsant,,Red Blend,Malondro
